kode_provinsi,nama_provinsi,kode_kabkota,nama_kabkota,kelompok_usia,penduduk_pria,penduduk_wanita
11,Prov. Nanggroe Aceh Darussalam,1101,Kab. Simeulue,0-4,5086,4744
11,Prov. Nanggroe Aceh Darussalam,1101,Kab. Simeulue,5-6,2147,1929
11,Prov. Nanggroe Aceh Darussalam,1101,Kab. Simeulue,7-9,2932,2707
11,Prov. Nanggroe Aceh Darussalam,1101,Kab. Simeulue,10-12,2830,2612
11,Prov. Nanggroe Aceh Darussalam,1101,Kab. Simeulue,13-14,1729,1653
11,Prov. Nanggroe Aceh Darussalam,1101,Kab. Simeulue,15,828,768
11,Prov. Nanggroe Aceh Darussalam,1101,Kab. Simeulue,16,696,690
11,Prov. Nanggroe Aceh Darussalam,1101,Kab. Simeulue,17,710,746
11,Prov. Nanggroe Aceh Darussalam,1101,Kab. Simeulue,18,703,657
11,Prov. Nanggroe Aceh Darussalam,1101,Kab. Simeulue,19,634,559
11,Prov. Nanggroe Aceh Darussalam,1101,Kab. Simeulue,20-24,3161,3134
11,Prov. Nanggroe Aceh Darussalam,1101,Kab. Simeulue,25-29,3842,3734
11,Prov. Nanggroe Aceh Darussalam,1101,Kab. Simeulue,30-34,3646,3340
11,Prov. Nanggroe Aceh Darussalam,1101,Kab. Simeulue,35-39,3022,2717
11,Prov. Nanggroe Aceh Darussalam,1101,Kab. Simeulue,40-44,2638,2363
11,Prov. Nanggroe Aceh Darussalam,1101,Kab. Simeulue,45-49,2196,1976
11,Prov. Nanggroe Aceh Darussalam,1101,Kab. Simeulue,50-54,1646,1571
11,Prov. Nanggroe Aceh Darussalam,1101,Kab. Simeulue,55-59,1150,1070
11,Prov. Nanggroe Aceh Darussalam,1101,Kab. Simeulue,60-64,804,932
11,Prov. Nanggroe Aceh Darussalam,1101,Kab. Simeulue,65+,1069,1303
11,Prov. Nanggroe Aceh Darussalam,1102,Kab. Aceh Singkil,0-4,7093,6749
11,Prov. Nanggroe Aceh Darussalam,1102,Kab. Aceh Singkil,5-6,2779,2747
11,Prov. Nanggroe Aceh Darussalam,1102,Kab. Aceh Singkil,7-9,4004,3900
11,Prov. Nanggroe Aceh Darussalam,1102,Kab. Aceh Singkil,10-12,3815,3622
11,Prov. Nanggroe Aceh Darussalam,1102,Kab. Aceh Singkil,13-14,2477,2502
11,Prov. Nanggroe Aceh Darussalam,1102,Kab. Aceh Singkil,15,1166,1063
11,Prov. Nanggroe Aceh Darussalam,1102,Kab. Aceh Singkil,16,1050,1057
11,Prov. Nanggroe Aceh Darussalam,1102,Kab. Aceh Singkil,17,1061,1034
11,Prov. Nanggroe Aceh Darussalam,1102,Kab. Aceh Singkil,18,946,852
11,Prov. Nanggroe Aceh Darussalam,1102,Kab. Aceh Singkil,19,809,803
11,Prov. Nanggroe Aceh Darussalam,1102,Kab. Aceh Singkil,20-24,4294,4674
11,Prov. Nanggroe Aceh Darussalam,1102,Kab. Aceh Singkil,25-29,4758,4974
11,Prov. Nanggroe Aceh Darussalam,1102,Kab. Aceh Singkil,30-34,4244,4115
11,Prov. Nanggroe Aceh Darussalam,1102,Kab. Aceh Singkil,35-39,3566,3304
11,Prov. Nanggroe Aceh Darussalam,1102,Kab. Aceh Singkil,40-44,2843,2601
11,Prov. Nanggroe Aceh Darussalam,1102,Kab. Aceh Singkil,45-49,2157,2057
11,Prov. Nanggroe Aceh Darussalam,1102,Kab. Aceh Singkil,50-54,1727,1594
11,Prov. Nanggroe Aceh Darussalam,1102,Kab. Aceh Singkil,55-59,1199,1030
11,Prov. Nanggroe Aceh Darussalam,1102,Kab. Aceh Singkil,60-64,655,691
11,Prov. Nanggroe Aceh Darussalam,1102,Kab. Aceh Singkil,65+,1129,1368
11,Prov. Nanggroe Aceh Darussalam,1103,Kab. Aceh Selatan,0-4,9786,9256
11,Prov. Nanggroe Aceh Darussalam,1103,Kab. Aceh Selatan,5-6,4049,3867
11,Prov. Nanggroe Aceh Darussalam,1103,Kab. Aceh Selatan,7-9,6849,6483
11,Prov. Nanggroe Aceh Darussalam,1103,Kab. Aceh Selatan,10-12,7176,6558
11,Prov. Nanggroe Aceh Darussalam,1103,Kab. Aceh Selatan,13-14,4533,4240
11,Prov. Nanggroe Aceh Darussalam,1103,Kab. Aceh Selatan,15,2215,2181
11,Prov. Nanggroe Aceh Darussalam,1103,Kab. Aceh Selatan,16,2056,1904
11,Prov. Nanggroe Aceh Darussalam,1103,Kab. Aceh Selatan,17,2073,2022
11,Prov. Nanggroe Aceh Darussalam,1103,Kab. Aceh Selatan,18,1820,1843
11,Prov. Nanggroe Aceh Darussalam,1103,Kab. Aceh Selatan,19,1570,1600
11,Prov. Nanggroe Aceh Darussalam,1103,Kab. Aceh Selatan,20-24,7637,8447
11,Prov. Nanggroe Aceh Darussalam,1103,Kab. Aceh Selatan,25-29,8265,8807
11,Prov. Nanggroe Aceh Darussalam,1103,Kab. Aceh Selatan,30-34,7593,8657
11,Prov. Nanggroe Aceh Darussalam,1103,Kab. Aceh Selatan,35-39,7878,8031
11,Prov. Nanggroe Aceh Darussalam,1103,Kab. Aceh Selatan,40-44,6752,7049
11,Prov. Nanggroe Aceh Darussalam,1103,Kab. Aceh Selatan,45-49,5601,5851
11,Prov. Nanggroe Aceh Darussalam,1103,Kab. Aceh Selatan,50-54,4465,4530
11,Prov. Nanggroe Aceh Darussalam,1103,Kab. Aceh Selatan,55-59,3117,3171
11,Prov. Nanggroe Aceh Darussalam,1103,Kab. Aceh Selatan,60-64,2140,2556
11,Prov. Nanggroe Aceh Darussalam,1103,Kab. Aceh Selatan,65+,4151,5472
11,Prov. Nanggroe Aceh Darussalam,1104,Kab. Aceh Tenggara,0-4,10823,10108
11,Prov. Nanggroe Aceh Darussalam,1104,Kab. Aceh Tenggara,5-6,4191,3958
11,Prov. Nanggroe Aceh Darussalam,1104,Kab. Aceh Tenggara,7-9,6787,6176
11,Prov. Nanggroe Aceh Darussalam,1104,Kab. Aceh Tenggara,10-12,6783,6457
11,Prov. Nanggroe Aceh Darussalam,1104,Kab. Aceh Tenggara,13-14,4733,4419
11,Prov. Nanggroe Aceh Darussalam,1104,Kab. Aceh Tenggara,15,2313,2026
11,Prov. Nanggroe Aceh Darussalam,1104,Kab. Aceh Tenggara,16,2075,2015
11,Prov. Nanggroe Aceh Darussalam,1104,Kab. Aceh Tenggara,17,2006,1906
11,Prov. Nanggroe Aceh Darussalam,1104,Kab. Aceh Tenggara,18,1864,1698
11,Prov. Nanggroe Aceh Darussalam,1104,Kab. Aceh Tenggara,19,1649,1682
11,Prov. Nanggroe Aceh Darussalam,1104,Kab. Aceh Tenggara,20-24,7377,7594
11,Prov. Nanggroe Aceh Darussalam,1104,Kab. Aceh Tenggara,25-29,7398,7402
11,Prov. Nanggroe Aceh Darussalam,1104,Kab. Aceh Tenggara,30-34,6690,6830
11,Prov. Nanggroe Aceh Darussalam,1104,Kab. Aceh Tenggara,35-39,6079,6166
11,Prov. Nanggroe Aceh Darussalam,1104,Kab. Aceh Tenggara,40-44,5035,5323
11,Prov. Nanggroe Aceh Darussalam,1104,Kab. Aceh Tenggara,45-49,4064,4366
11,Prov. Nanggroe Aceh Darussalam,1104,Kab. Aceh Tenggara,50-54,3511,3786
11,Prov. Nanggroe Aceh Darussalam,1104,Kab. Aceh Tenggara,55-59,2331,2445
