Provinsi / Kabupaten / Kota,2017,2016,2015,2014,2013,2012,2011,2010
ACEH,8957,8768,8533.05,8297,8289,8134,8044,7934
SIMEULUE,6677,6542,6327.53,5956,5920,5824,5781,5728
ACEH SINGKIL,8230,8068,7601.75,7221,7208,7165,7123,7081
ACEH SELATAN,7567,7397,7223.53,7003,6989,6913,6890,6855
ACEH TENGGARA,7359,7212,7001.22,6949,6899,6788,6731,6663
ACEH TIMUR,7961,7825,7623.02,7288,7219,7178,6897,6614
ACEH TENGAH,10021,9920,9473.43,9435,9400,9365,9330,9295
ACEH BARAT,8989,8559,8134.83,7771,7744,7688,7632,7576
ACEH BESAR,8965,8788,8775.22,8622,8497,8344,8246,8138
PIDIE,9377,9273,9232.57,9182,9167,9121,9076,9032
BIREUEN,8237,7885,7622.24,7319,7232,6996,6822,6644
ACEH UTARA,7632,7520,7327.05,6838,6714,6562,6465,6361
ACEH BARAT DAYA,7723,7567,7303.24,7059,6966,6828,6655,6608
GAYO LUES,8322,8048,7779.87,7742,7709,7646,7635,7611
ACEH TAMIANG,7931,7766,7749.69,7569,7554,7478,7455,7420
NAGAN RAYA,7732,7460,7141.36,7084,7019,6902,6834,6629
ACEH JAYA,8898,8796,8749.26,8721,8691,8679,8596,8514
BENER MERIAH,10428,10140,9759.56,9721,9645,9580,9289,9000
PIDIE JAYA,9691,9590,9398.39,9260,9173,9027,8935,8833
KOTA BANDA ACEH,15917,15737,15362.25,14766,14629,14205,13846,13488
KOTA SABANG,10610,10507,10040.89,9823,9718,9692,9254,9047
KOTA LANGSA,11261,11015,10605.11,10284,10198,9925,9713,9496
KOTA LHOKSEUMAWE,10673,10549,10092.86,9678,9580,9303,8900,8597
KOTA SUBULUSSALAM,6887,6669,6504.38,6326,6320,6275,6230,6185
SUMATERA UTARA,10036,9744,9563.19,9391,9309,9266,9231,9196
NIAS,6629,6409,6233.8,5980,5914,5710,5505,5236
MANDAILING NATAL,9385,9237,9096.17,9040,8960,8871,8829,8425
TAPANULI SELATAN,10955,10821,10622.84,10593,10504,10357,10213,10070
TAPANULI TENGAH,9852,9694,9555.25,9489,9382,9324,9222,8796
TAPANULI UTARA,11407,11242,11078.85,10964,10850,10786,10740,10299
TOBA SAMOSIR,11846,11687,11535.16,11250,11178,11043,10909,10777
LABUHAN BATU,10760,10559,10355.76,10325,10210,10058,9909,9762
ASAHAN,10477,10288,10067.32,9988,9895,9773,9652,9532
SIMALUNGUN,11055,10855,10727.51,10597,10494,10358,10224,10092
DAIRI,10395,10190,9708.3,9642,9580,9520,9461,9040
KARO,12059,11925,11800.26,11548,11453,11359,11265,11173
DELI SERDANG,11891,11683,11358.87,11065,10924,10785,10647,10512
LANGKAT,10784,10567,10364.21,10062,9970,9910,9850,9351
NIAS SELATAN,6792,6647,6454.46,6329,6266,6213,6026,5840
HUMBANG HASUNDUTAN,7412,7135,6888.62,6736,6670,6562,6456,6351
PAKPAK BHARAT,7913,7641,7496.27,7364,7269,7205,7189,6810
SAMOSIR,8163,7813,7697.71,7667,7600,7533,7467,7401
SERDANG BEDAGAI,10551,10246,10110,10042,9882,9817,9771,9419
BATU BARA,10084,9886,9692.46,9370,9218,9069,8922,8778
PADANG LAWAS UTARA,9737,9600,9362.55,9171,9076,8887,8751,8264
PADANG LAWAS,8445,8094,7954.64,7910,7825,7740,7656,7573
LABUHAN BATU SELATAN,10892,10712,10319.05,10111,10040,9866,9780,9694
LABUHAN BATU UTARA,11510,11278,11200.81,11147,11063,10979,10896,10814
NIAS UTARA,5835,5770,5627.16,5580,5523,5442,5411,-
